run_name,dataset,n,ece,iou_pred_mean,iou_mean
decoder_only_seed0,isic2018_test,1000,0.3719720269533749,0.5331896620094776,0.9051616889628527
decoder_only_seed0,ph2,200,0.33008879539297925,0.57020392537117,0.9002927207641492
decoder_only_seed0,busi,647,0.34327025644090475,0.4715459703754236,0.8148162268163284
decoder_only_seed0,cbis_ddsm,362,0.2394864380986559,0.48078742812680936,0.7202738662254653
full_ft_seed0,isic2018_test,1000,0.3598355077430838,0.5668918607234955,0.9267273684665792
full_ft_seed0,ph2,200,0.33750497633270626,0.5834419573843479,0.9209469337170543
full_ft_seed0,busi,647,0.264739453014937,0.5576571659105822,0.8223966189255193
full_ft_seed0,cbis_ddsm,362,0.21912301415624752,0.5014084609667899,0.7205314751230375
lora_encoder_only_r28_all_seed0,isic2018_test,1000,0.3544607164216384,0.5666239097416401,0.9210846261632785
lora_encoder_only_r28_all_seed0,ph2,200,0.34779965204262275,0.5745455139875412,0.922345166030164
lora_encoder_only_r28_all_seed0,busi,647,0.27614460492949533,0.5602333573322208,0.8363779622617159
lora_encoder_only_r28_all_seed0,cbis_ddsm,362,0.22634321710613592,0.4855465867572068,0.7103012785486664
lora_seed0,isic2018_test,1000,0.4139225479396291,0.5017379175424576,0.9156604654820867
lora_seed0,ph2,200,0.40570377632529364,0.5105271723866462,0.91623094871194
lora_seed0,busi,647,0.157877270969555,0.5108155165978893,0.6686927875674442
lora_seed0,cbis_ddsm,362,0.12910237993018012,0.5004038937513341,0.37875190196238745
vpt_deep_seed0,isic2018_test,1000,0.36575250858784836,0.5366950548887253,0.9024475634765737
vpt_deep_seed0,ph2,200,0.3544423839624246,0.5442533162236214,0.898695700186046
vpt_deep_seed0,busi,647,0.17479138875499825,0.5151886504713498,0.6899800392263481
vpt_deep_seed0,cbis_ddsm,362,0.06975714849715003,0.49121901730476825,0.44091562365772535
vpt_shallow_seed0,isic2018_test,1000,0.38050776974973466,0.5193416828811168,0.8998494526308514
vpt_shallow_seed0,ph2,200,0.37625309166342613,0.5189047919213772,0.8951578835848033
vpt_shallow_seed0,busi,647,0.16776897171815885,0.534031646881811,0.7018006185999699
vpt_shallow_seed0,cbis_ddsm,362,0.02679540718034682,0.5278431368137592,0.5019397642465796
zero_shot,isic2018_test,1000,0.2713328530393457,0.5645239724516868,0.8358568254910324
zero_shot,ph2,200,0.2625475183153103,0.5717805111408234,0.8343280294561336
zero_shot,busi,647,0.16277501757659948,0.5465742508539645,0.7081503793434389
zero_shot,cbis_ddsm,362,0.08520609628238739,0.47627202425543114,0.5506172063591861
