method,dataset,perturb_max_px,dice_pm0_train,dice_pm20_train,dice_rand100_train,delta_pm20_vs_pm0,delta_rand100_vs_pm0
vpt_deep,cbis_ddsm,200,0.1336,0.1367,0.1241,0.0031,-0.0095
lora,isic2018_test,0,0.9545,0.951,0.9421,-0.0035,-0.0124
lora,isic2018_test,20,0.941,0.939,0.9388,-0.002,-0.0022
lora,isic2018_test,50,0.9052,0.907,0.9287,0.0018,0.0235
lora,isic2018_test,100,0.8584,0.8535,0.9045,-0.0049,0.0461
lora,isic2018_test,200,0.7978,0.7808,0.8494,-0.017,0.0516
lora,ph2,0,0.9557,0.9516,0.951,-0.0041,-0.0047
lora,ph2,20,0.939,0.9368,0.9459,-0.0022,0.0069
lora,ph2,50,0.9078,0.9084,0.935,0.0006,0.0272
lora,ph2,100,0.8692,0.8643,0.9109,-0.0049,0.0417
lora,ph2,200,0.8342,0.8258,0.8724,-0.0084,0.0382
lora,busi,0,0.7775,0.8109,0.7474,0.0334,-0.0301
lora,busi,20,0.7515,0.7952,0.7441,0.0437,-0.0074
lora,busi,50,0.6967,0.7511,0.7248,0.0544,0.0281
lora,busi,100,0.6165,0.6623,0.6708,0.0458,0.0543
lora,busi,200,0.487,0.5126,0.5179,0.0256,0.0309
lora,cbis_ddsm,0,0.4979,0.5422,0.1785,0.0443,-0.3194
lora,cbis_ddsm,20,0.4752,0.5052,0.208,0.03,-0.2672
lora,cbis_ddsm,50,0.3898,0.4154,0.2236,0.0256,-0.1662
lora,cbis_ddsm,100,0.2736,0.2647,0.1913,-0.0089,-0.0823
lora,cbis_ddsm,200,0.1433,0.1392,0.1073,-0.0041,-0.036
full_ft,isic2018_test,0,0.9609,0.9553,0.9446,-0.0056,-0.0163
full_ft,isic2018_test,20,0.9486,0.9457,0.9412,-0.0029,-0.0074
full_ft,isic2018_test,50,0.9022,0.911,0.9305,0.0088,0.0283
full_ft,isic2018_test,100,0.8263,0.8393,0.9016,0.013,0.0753
full_ft,isic2018_test,200,0.7098,0.7252,0.8386,0.0154,0.1288
full_ft,ph2,0,0.9583,0.9543,0.9468,-0.004,-0.0115
full_ft,ph2,20,0.9382,0.9422,0.9423,0.004,0.0041
full_ft,ph2,50,0.8984,0.9103,0.9329,0.0119,0.0345
full_ft,ph2,100,0.8328,0.8462,0.9043,0.0134,0.0715
full_ft,ph2,200,0.7437,0.7533,0.8651,0.0096,0.1214
full_ft,busi,0,0.8991,0.8935,0.8783,-0.0056,-0.0208
full_ft,busi,20,0.8879,0.8891,0.8715,0.0012,-0.0164
full_ft,busi,50,0.8079,0.8341,0.8345,0.0262,0.0266
full_ft,busi,100,0.6745,0.705,0.7194,0.0305,0.0449
full_ft,busi,200,0.5014,0.5241,0.5135,0.0227,0.0121
full_ft,cbis_ddsm,0,0.828,0.8015,0.7064,-0.0265,-0.1216
full_ft,cbis_ddsm,20,0.7476,0.743,0.656,-0.0046,-0.0916
full_ft,cbis_ddsm,50,0.5617,0.5808,0.547,0.0191,-0.0147
full_ft,cbis_ddsm,100,0.3346,0.3494,0.3446,0.0148,0.01
full_ft,cbis_ddsm,200,0.1704,0.1744,0.1626,0.004,-0.0078
