method,dataset,perturb_max_px,dice_pm0_mean,dice_pm0_std,dice_pm20_mean,dice_pm20_std,dice_rand100_mean,dice_rand100_std,delta_pm20_vs_pm0,delta_rand100_vs_pm0
lora,ph2,200,0.8197,0.0145,0.8338,0.008,0.8769,0.004,0.0141,0.0572
vpt_deep,busi,0,0.8017,0.0046,0.7702,0.0376,0.736,0.0243,-0.0315,-0.0657
vpt_deep,busi,20,0.7842,0.007,0.7624,0.0344,0.7291,0.0223,-0.0218,-0.0551
vpt_deep,busi,50,0.7243,0.0104,0.7224,0.0248,0.7019,0.0193,-0.0019,-0.0224
vpt_deep,busi,100,0.6288,0.014,0.636,0.0111,0.6343,0.0077,0.0072,0.0055
vpt_deep,busi,200,0.4824,0.0128,0.4853,0.0052,0.4751,0.0013,0.0029,-0.0073
vpt_deep,cbis_ddsm,0,0.5725,0.009,0.5117,0.0581,0.3518,0.0543,-0.0608,-0.2207
vpt_deep,cbis_ddsm,20,0.5102,0.0109,0.481,0.0364,0.3349,0.0502,-0.0292,-0.1753
vpt_deep,cbis_ddsm,50,0.3904,0.006,0.391,0.0152,0.2903,0.0435,0.0006,-0.1001
vpt_deep,cbis_ddsm,100,0.2582,0.0054,0.2603,0.0054,0.2053,0.0243,0.0021,-0.0529
vpt_deep,cbis_ddsm,200,0.1368,0.004,0.1369,0.0015,0.1091,0.0138,0.0001,-0.0277
vpt_deep,isic2018_test,0,0.947,0.0002,0.9432,0.0012,0.9343,0.0012,-0.0038,-0.0127
vpt_deep,isic2018_test,20,0.9343,0.0013,0.9324,0.0006,0.9279,0.0012,-0.0019,-0.0064
vpt_deep,isic2018_test,50,0.8944,0.0013,0.9014,0.0021,0.9121,0.0017,0.007,0.0177
vpt_deep,isic2018_test,100,0.8281,0.0022,0.8407,0.0053,0.8766,0.0025,0.0126,0.0485
vpt_deep,isic2018_test,200,0.7251,0.0013,0.738,0.0089,0.7946,0.0055,0.0129,0.0695
vpt_deep,ph2,0,0.9456,0.0002,0.9428,0.0018,0.9379,0.0029,-0.0028,-0.0077
vpt_deep,ph2,20,0.9315,0.0005,0.9308,0.0017,0.9314,0.0039,-0.0007,-0.0001
vpt_deep,ph2,50,0.8961,0.0019,0.9022,0.0036,0.9161,0.0044,0.0061,0.02
vpt_deep,ph2,100,0.8324,0.0036,0.8431,0.0057,0.8766,0.0045,0.0107,0.0442
vpt_deep,ph2,200,0.7425,0.0049,0.7533,0.0059,0.7988,0.0086,0.0108,0.0563
vpt_shallow,busi,0,0.7921,0.0166,0.7623,0.032,0.6945,0.0211,-0.0298,-0.0976
vpt_shallow,busi,20,0.7758,0.0157,0.7509,0.0301,0.6865,0.0203,-0.0249,-0.0893
vpt_shallow,busi,50,0.719,0.0117,0.7091,0.0267,0.6652,0.0191,-0.0099,-0.0538
vpt_shallow,busi,100,0.6315,0.0069,0.6261,0.0215,0.6105,0.0245,-0.0054,-0.021
vpt_shallow,busi,200,0.4868,0.002,0.479,0.0146,0.4725,0.0223,-0.0078,-0.0143
vpt_shallow,cbis_ddsm,0,0.5662,0.0629,0.4555,0.0415,0.2759,0.0383,-0.1107,-0.2903
vpt_shallow,cbis_ddsm,20,0.5199,0.0498,0.4369,0.0406,0.2804,0.0217,-0.083,-0.2395
vpt_shallow,cbis_ddsm,50,0.3961,0.038,0.3532,0.023,0.2574,0.0133,-0.0429,-0.1387
vpt_shallow,cbis_ddsm,100,0.2565,0.0222,0.238,0.0078,0.1956,0.014,-0.0185,-0.0609
vpt_shallow,cbis_ddsm,200,0.1374,0.0084,0.1313,0.0038,0.1132,0.0061,-0.0061,-0.0242
vpt_shallow,isic2018_test,0,0.9449,0.0007,0.9428,0.0003,0.9303,0.0032,-0.0021,-0.0146
vpt_shallow,isic2018_test,20,0.9327,0.0017,0.9326,0.0005,0.9232,0.0049,-0.0001,-0.0095
vpt_shallow,isic2018_test,50,0.8952,0.0034,0.9042,0.0003,0.9075,0.0071,0.009,0.0123
vpt_shallow,isic2018_test,100,0.8335,0.0056,0.8476,0.0012,0.8725,0.0096,0.0141,0.039
vpt_shallow,isic2018_test,200,0.7352,0.0104,0.7478,0.0034,0.7896,0.0138,0.0126,0.0544
vpt_shallow,ph2,0,0.9433,0.0005,0.9426,0.0005,0.9359,0.0033,-0.0007,-0.0074
vpt_shallow,ph2,20,0.9298,0.0017,0.931,0.0006,0.9286,0.005,0.0012,-0.0012
vpt_shallow,ph2,50,0.8976,0.0053,0.904,0.0013,0.9125,0.0071,0.0064,0.0149
vpt_shallow,ph2,100,0.836,0.0078,0.8482,0.004,0.8736,0.0101,0.0122,0.0376
vpt_shallow,ph2,200,0.7542,0.0132,0.7591,0.0065,0.799,0.011,0.0049,0.0448
zero_shot,busi,0,0.8234,0.0,0.8234,0.0,0.8234,0.0,0.0,0.0
zero_shot,busi,20,0.8504,0.0,0.8504,0.0,0.8504,0.0,0.0,0.0
zero_shot,busi,50,0.8384,0.0,0.8384,0.0,0.8384,0.0,0.0,0.0
zero_shot,busi,100,0.7579,0.0,0.7579,0.0,0.7579,0.0,0.0,0.0
zero_shot,busi,200,0.6017,0.0,0.6017,0.0,0.6017,0.0,0.0,0.0
zero_shot,cbis_ddsm,0,0.6924,0.0,0.6924,0.0,0.6924,0.0,0.0,0.0
zero_shot,cbis_ddsm,20,0.7483,0.0,0.7483,0.0,0.7483,0.0,0.0,0.0
zero_shot,cbis_ddsm,50,0.657,0.0,0.657,0.0,0.657,0.0,0.0,0.0
zero_shot,cbis_ddsm,100,0.3905,0.0,0.3905,0.0,0.3905,0.0,0.0,0.0
zero_shot,cbis_ddsm,200,0.1889,0.0,0.1889,0.0,0.1889,0.0,0.0,0.0
zero_shot,isic2018_test,0,0.9072,0.0,0.9072,0.0,0.9072,0.0,0.0,0.0
zero_shot,isic2018_test,20,0.9206,0.0,0.9206,0.0,0.9206,0.0,0.0,0.0
zero_shot,isic2018_test,50,0.9144,0.0,0.9144,0.0,0.9144,0.0,0.0,0.0
zero_shot,isic2018_test,100,0.8708,0.0,0.8708,0.0,0.8708,0.0,0.0,0.0
zero_shot,isic2018_test,200,0.7673,0.0,0.7673,0.0,0.7673,0.0,0.0,0.0
zero_shot,ph2,0,0.9054,0.0,0.9054,0.0,0.9054,0.0,0.0,0.0
zero_shot,ph2,20,0.915,0.0,0.915,0.0,0.915,0.0,0.0,0.0
zero_shot,ph2,50,0.9107,0.0,0.9107,0.0,0.9107,0.0,0.0,0.0
zero_shot,ph2,100,0.8756,0.0,0.8756,0.0,0.8756,0.0,0.0,0.0
zero_shot,ph2,200,0.7986,0.0,0.7986,0.0,0.7986,0.0,0.0,0.0
