method,training,dataset,perturb_max_px,dice_mean_seeds,dice_std_seeds,n_seeds,seeds
full_ft,pm=20,busi,100,0.6902,0.0158,3,"0,1,2"
full_ft,pm=20,busi,200,0.5096,0.0156,3,"0,1,2"
full_ft,pm=20,cbis_ddsm,0,0.8051,0.0058,3,"0,1,2"
full_ft,pm=20,cbis_ddsm,20,0.7398,0.0037,3,"0,1,2"
full_ft,pm=20,cbis_ddsm,50,0.5705,0.0093,3,"0,1,2"
full_ft,pm=20,cbis_ddsm,100,0.3414,0.0073,3,"0,1,2"
full_ft,pm=20,cbis_ddsm,200,0.1714,0.0028,3,"0,1,2"
full_ft,pm=20,isic2018_test,0,0.9556,0.0012,3,"0,1,2"
full_ft,pm=20,isic2018_test,20,0.9438,0.0036,3,"0,1,2"
full_ft,pm=20,isic2018_test,50,0.905,0.0082,3,"0,1,2"
full_ft,pm=20,isic2018_test,100,0.8314,0.011,3,"0,1,2"
full_ft,pm=20,isic2018_test,200,0.7201,0.0091,3,"0,1,2"
full_ft,pm=20,ph2,0,0.9537,0.0008,3,"0,1,2"
full_ft,pm=20,ph2,20,0.9398,0.0027,3,"0,1,2"
full_ft,pm=20,ph2,50,0.9044,0.0073,3,"0,1,2"
full_ft,pm=20,ph2,100,0.84,0.0087,3,"0,1,2"
full_ft,pm=20,ph2,200,0.7516,0.0067,3,"0,1,2"
full_ft,rand100,busi,0,0.8762,0.0152,3,"0,1,2"
full_ft,rand100,busi,20,0.8712,0.0132,3,"0,1,2"
full_ft,rand100,busi,50,0.8424,0.0096,3,"0,1,2"
full_ft,rand100,busi,100,0.7422,0.0198,3,"0,1,2"
full_ft,rand100,busi,200,0.5445,0.0269,3,"0,1,2"
full_ft,rand100,cbis_ddsm,0,0.698,0.0256,3,"0,1,2"
full_ft,rand100,cbis_ddsm,20,0.6497,0.0151,3,"0,1,2"
full_ft,rand100,cbis_ddsm,50,0.538,0.0123,3,"0,1,2"
full_ft,rand100,cbis_ddsm,100,0.3353,0.0099,3,"0,1,2"
full_ft,rand100,cbis_ddsm,200,0.1575,0.0117,3,"0,1,2"
full_ft,rand100,isic2018_test,0,0.9445,0.0038,3,"0,1,2"
full_ft,rand100,isic2018_test,20,0.9394,0.0028,3,"0,1,2"
full_ft,rand100,isic2018_test,50,0.9268,0.0032,3,"0,1,2"
full_ft,rand100,isic2018_test,100,0.8979,0.0071,3,"0,1,2"
