dataset,method,training,dice_pm0,dice_pm20,dice_pm50,dice_pm100,dice_pm200,iou_pm0,iou_pm20,iou_pm50,iou_pm100,iou_pm200,hd95_pm0,hd95_pm20,hd95_pm50,hd95_pm100,hd95_pm200
cbis_ddsm,decoder_only,pm=0,0.8273,0.7118,0.5075,0.3035,0.1570,0.7203,0.5675,0.3536,0.1878,0.0888,9.9662,15.8943,38.6508,75.0915,147.2585
cbis_ddsm,decoder_only,pm=20,0.7872,0.7078,0.5236,0.3094,0.1565,0.6646,0.5662,0.3718,0.1940,0.0892,12.4971,24.9587,36.3784,72.7373,146.0337
cbis_ddsm,vpt_shallow,pm=0,0.6388,0.5717,0.4314,0.2762,0.1461,0.5019,0.4246,0.2910,0.1702,0.0827,112.3206,124.6597,133.7533,165.5111,217.6816
cbis_ddsm,vpt_shallow,pm=20,0.4167,0.3908,0.3271,0.2291,0.1273,0.2987,0.2688,0.2117,0.1382,0.0713,193.5206,177.8620,179.5795,192.7518,225.5063
cbis_ddsm,vpt_deep,pm=0,0.5744,0.5201,0.3888,0.2540,0.1336,0.4409,0.3759,0.2570,0.1539,0.0749,166.9847,182.8512,200.0783,217.6177,239.7853
cbis_ddsm,vpt_deep,pm=20,0.5767,0.5203,0.4066,0.2625,0.1367,0.4430,0.3776,0.2722,0.1603,0.0767,112.0014,103.6305,113.7189,140.6731,189.2404
cbis_ddsm,lora,pm=0,0.4979,0.4752,0.3898,0.2736,0.1433,0.3788,0.3444,0.2631,0.1714,0.0817,234.1670,242.7106,252.2567,263.0343,284.7425
cbis_ddsm,lora,pm=20,0.5422,0.5052,0.4154,0.2647,0.1392,0.4173,0.3709,0.2830,0.1645,0.0788,188.5616,206.5663,221.2185,243.2809,262.5261
cbis_ddsm,full_ft,pm=0,0.8280,0.7476,0.5617,0.3346,0.1704,0.7205,0.6113,0.4056,0.2118,0.0978,8.2137,12.6119,28.2700,66.0876,140.0095
cbis_ddsm,full_ft,pm=20,0.8015,0.7430,0.5808,0.3494,0.1744,0.6831,0.6074,0.4272,0.2249,0.1014,12.0643,20.4561,31.7824,65.7505,137.7014
