bin_lo,bin_hi,n,conf_mean,true_mean
0.0,0.1,3,0.08117334793011344,0.6885998359999244
0.1,0.2,20,0.17302789874374863,0.6722181783726693
0.2,0.30000000000000004,66,0.2574848814895659,0.6372425238259517
0.30000000000000004,0.4,90,0.35082449946138594,0.5840300103326647
0.4,0.5,58,0.44453157176231517,0.5693886462462764
0.5,0.6000000000000001,23,0.5316693471825641,0.4526026823221717
0.6000000000000001,0.7000000000000001,5,0.6145257830619812,0.44702240195091597
0.7000000000000001,0.8,4,0.7122182548046112,0.6657833497210948
0.8,0.9,0,,
0.9,1.0,0,,
