bin_lo,bin_hi,n,conf_mean,true_mean
0.0,0.1,0,,
0.1,0.2,0,,
0.2,0.30000000000000004,0,,
0.30000000000000004,0.4,0,,
0.4,0.5,18,0.4717317289776272,0.7639922388036552
0.5,0.6000000000000001,122,0.5621524076969897,0.8431738798281491
0.6000000000000001,0.7000000000000001,60,0.6213722894589107,0.8374422042287794
0.7000000000000001,0.8,0,,
0.8,0.9,0,,
0.9,1.0,0,,
