image_id,dice,iou,hd95,iou_pred
IMD002,0.9243427373002089,0.8593283096331549,8.5440034866333,0.5858368277549744
IMD003,0.9311162211969762,0.8711108164071707,4.123105525970459,0.6108671426773071
IMD004,0.92085302051105,0.8533156632171356,7.211102485656738,0.5788069367408752
IMD006,0.8985302523803013,0.8157557248599855,12.0,0.5698661208152771
IMD008,0.967683288959766,0.9373899294770827,0.0,0.6384181976318359
IMD009,0.9592121125438418,0.9216211334747758,0.0,0.578076183795929
IMD010,0.9459586311388543,0.8974587327263551,1.0,0.5948911309242249
IMD013,0.9491334997295132,0.9031913182934588,1.0,0.5508438348770142
IMD014,0.8984126855184986,0.8155619384029977,27.294687271118164,0.5758419632911682
IMD015,0.9440806439010235,0.8940840400815014,2.0,0.5632200837135315
IMD016,0.9283613655376755,0.8663007619203799,5.099019527435303,0.5949602127075195
IMD017,0.9745560246808722,0.9503747139161149,0.0,0.6108109354972839
IMD018,0.9779094344795307,0.9567737610236009,0.0,0.5528708100318909
IMD019,0.9810833449672869,0.962869082688587,0.0,0.584027111530304
IMD020,0.9710021169528154,0.9436385953269391,0.0,0.6059738993644714
IMD021,0.9636840211750229,0.9299133091317694,0.0,0.5860044360160828
IMD022,0.9173846966140912,0.8473782827059533,10.29563045501709,0.5895592570304871
IMD023,0.9769346636278249,0.9549093580788255,0.0,0.5651717185974121
IMD024,0.9244803952233759,0.859566288813607,5.0,0.6035504937171936
IMD025,0.9415834549754135,0.8896152081162205,2.0,0.6088149547576904
IMD027,0.9338906495546099,0.8759801695433092,5.0,0.5700003504753113
IMD030,0.9388641742730756,0.8847728551903437,4.4721360206604,0.6180926561355591
IMD031,0.9796104844025042,0.9600358190949406,0.0,0.681244432926178
IMD032,0.947717872783556,0.9006309698432385,1.0,0.530742347240448
IMD033,0.9324257927418262,0.8734060699506297,5.0,0.557065486907959
IMD035,0.8469881266176366,0.7345875148135266,26.925823211669922,0.5647136569023132
IMD036,0.9625564272253555,0.9278156928102372,0.0,0.5185869932174683
IMD037,0.9407041049341432,0.8880465876591196,2.0,0.5850831270217896
IMD038,0.9237602086310336,0.8583219242029815,5.385164737701416,0.5833417773246765
IMD039,0.970984398148041,0.9436051274644162,0.0,0.579727828502655
IMD040,0.9177577234989277,0.8480150363991407,6.0,0.487358957529068
IMD041,0.9701187886900371,0.94197153811186,0.0,0.5864024758338928
IMD042,0.947047186626895,0.8994203487554567,1.0,0.5768349170684814
IMD043,0.9355060773970311,0.8788270722201835,3.0,0.5684686303138733
IMD044,0.95381268433671,0.9117035449164027,0.0,0.6166012287139893
IMD045,0.9347956070466391,0.8775739315676987,3.0,0.5982745289802551
IMD047,0.9407656092477203,0.8881562168499811,2.2360680103302,0.5845019817352295
IMD048,0.8644608429489568,0.761277880715857,17.8885440826416,0.5849589109420776
IMD049,0.9275093119158919,0.864818055971406,5.0,0.6124458909034729
IMD050,0.9736033126776501,0.9485643559681571,0.0,0.5476638674736023
IMD057,0.9847244692346059,0.9699086005670586,0.0,0.5656753778457642
IMD058,0.9733540607789151,0.9480912782038923,0.0,0.5617954134941101
IMD061,0.9814634697409008,0.9636016388054904,0.0,0.5275883674621582
IMD063,0.9741249593940537,0.9495551805400421,0.0,0.6147187948226929
IMD064,0.9781339690519449,0.9572037228250838,0.0,0.5361257195472717
IMD065,0.9614196664233424,0.9257056342598555,0.0,0.5219525098800659
IMD075,0.9612049913298522,0.9253076721657759,0.0,0.5779222846031189
IMD076,0.9124203009437909,0.8389456898982791,8.5440034866333,0.5679572224617004
IMD078,0.9326690794539978,0.8738330929053962,4.123105525970459,0.5917155742645264
IMD080,0.9466350829685407,0.8986772462826745,2.0,0.51912522315979
IMD085,0.9687416684549685,0.9393782710135596,0.0,0.5544754862785339
IMD088,0.9571155830700915,0.9177580636287356,0.0,0.5975068807601929
IMD090,0.9336949013311869,0.8756357842580935,5.830951690673828,0.5096647143363953
IMD091,0.9727333703133684,0.9469142111723602,0.0,0.590222954750061
IMD092,0.9570722479869864,0.9176783781435895,0.0,0.5206153988838196
