run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
zero_shot,dmid,drift,0.5,269,67,0.24907063197026022,0.21509688291729698,0.1,27,0.08955223880597014,0.2222222222222222,0.25206611570247933
zero_shot,dmid,drift,0.5,269,67,0.24907063197026022,0.21509688291729698,0.2,54,0.208955223880597,0.25925925925925924,0.24651162790697675
zero_shot,dmid,drift,0.5,269,67,0.24907063197026022,0.21509688291729698,0.3,81,0.31343283582089554,0.25925925925925924,0.24468085106382978
zero_shot,dmid,drift,0.5,269,67,0.24907063197026022,0.21509688291729698,0.5,135,0.582089552238806,0.28888888888888886,0.208955223880597
zero_shot,dmid,iou_pred,0.5,269,67,0.24907063197026022,0.2656478564342371,0.1,27,0.11940298507462686,0.2962962962962963,0.24380165289256198
zero_shot,dmid,iou_pred,0.5,269,67,0.24907063197026022,0.2656478564342371,0.2,54,0.19402985074626866,0.24074074074074073,0.25116279069767444
zero_shot,dmid,iou_pred,0.5,269,67,0.24907063197026022,0.2656478564342371,0.3,81,0.2835820895522388,0.2345679012345679,0.2553191489361702
zero_shot,dmid,iou_pred,0.5,269,67,0.24907063197026022,0.2656478564342371,0.5,135,0.44776119402985076,0.2222222222222222,0.27611940298507465
vpt_shallow_seed0,dmid,drift,0.5,269,93,0.34572490706319703,0.40564710215309047,0.1,27,0.15053763440860216,0.5185185185185185,0.32644628099173556
vpt_shallow_seed0,dmid,drift,0.5,269,93,0.34572490706319703,0.40564710215309047,0.2,54,0.26881720430107525,0.46296296296296297,0.31627906976744186
vpt_shallow_seed0,dmid,drift,0.5,269,93,0.34572490706319703,0.40564710215309047,0.3,81,0.3333333333333333,0.38271604938271603,0.32978723404255317
vpt_shallow_seed0,dmid,drift,0.5,269,93,0.34572490706319703,0.40564710215309047,0.5,135,0.46236559139784944,0.31851851851851853,0.373134328358209
vpt_shallow_seed0,dmid,iou_pred,0.5,269,93,0.34572490706319703,0.2729531569331241,0.1,27,0.13978494623655913,0.48148148148148145,0.3305785123966942
vpt_shallow_seed0,dmid,iou_pred,0.5,269,93,0.34572490706319703,0.2729531569331241,0.2,54,0.23655913978494625,0.4074074074074074,0.3302325581395349
vpt_shallow_seed0,dmid,iou_pred,0.5,269,93,0.34572490706319703,0.2729531569331241,0.3,81,0.3763440860215054,0.43209876543209874,0.30851063829787234
vpt_shallow_seed0,dmid,iou_pred,0.5,269,93,0.34572490706319703,0.2729531569331241,0.5,135,0.5913978494623656,0.4074074074074074,0.2835820895522388
vpt_deep_seed0,dmid,drift,0.5,269,110,0.40892193308550184,0.46616705818907256,0.1,27,0.11818181818181818,0.48148148148148145,0.40082644628099173
vpt_deep_seed0,dmid,drift,0.5,269,110,0.40892193308550184,0.46616705818907256,0.2,54,0.22727272727272727,0.46296296296296297,0.3953488372093023
vpt_deep_seed0,dmid,drift,0.5,269,110,0.40892193308550184,0.46616705818907256,0.3,81,0.2545454545454545,0.345679012345679,0.43617021276595747
vpt_deep_seed0,dmid,drift,0.5,269,110,0.40892193308550184,0.46616705818907256,0.5,135,0.4818181818181818,0.3925925925925926,0.4253731343283582
vpt_deep_seed0,dmid,iou_pred,0.5,269,110,0.40892193308550184,0.3722736322301128,0.1,27,0.08181818181818182,0.3333333333333333,0.41735537190082644
vpt_deep_seed0,dmid,iou_pred,0.5,269,110,0.40892193308550184,0.3722736322301128,0.2,54,0.17272727272727273,0.35185185185185186,0.4232558139534884
vpt_deep_seed0,dmid,iou_pred,0.5,269,110,0.40892193308550184,0.3722736322301128,0.3,81,0.3,0.4074074074074074,0.4095744680851064
vpt_deep_seed0,dmid,iou_pred,0.5,269,110,0.40892193308550184,0.3722736322301128,0.5,135,0.5272727272727272,0.42962962962962964,0.3880597014925373
lora_seed0,dmid,drift,0.5,269,175,0.6505576208178439,0.493445896560941,0.1,27,0.14857142857142858,0.9629629629629629,0.6157024793388429
lora_seed0,dmid,drift,0.5,269,175,0.6505576208178439,0.493445896560941,0.2,54,0.2914285714285714,0.9444444444444444,0.5767441860465117
lora_seed0,dmid,drift,0.5,269,175,0.6505576208178439,0.493445896560941,0.3,81,0.42857142857142855,0.9259259259259259,0.5319148936170213
lora_seed0,dmid,drift,0.5,269,175,0.6505576208178439,0.493445896560941,0.5,135,0.6514285714285715,0.8444444444444444,0.4552238805970149
lora_seed0,dmid,iou_pred,0.5,269,175,0.6505576208178439,0.5985225713071871,0.1,27,0.12,0.7777777777777778,0.6363636363636364
