method,budget,id_drift,id_drift_enc,far_ood_drift,far_ood_drift_enc
decoder_only,50,0.07358711607754227,0.0,0.044775939070720416,0.0
decoder_only,250,0.07448210722208021,0.0,0.032483736841655994,0.0
decoder_only,1000,0.09078061792254445,0.0,0.05373614791568876,0.0
lora,50,0.1355425421446562,0.31301673647761347,0.12304632739151947,0.02428661547528371
lora,250,0.14796531169861554,0.4077767495363951,0.362822126327886,0.1115269052414262
lora,1000,0.14363732896745204,0.4185870316326618,0.3527684987388968,0.12389989096031588
lora_encoder_only,50,0.1237758126929402,0.41326835517585275,0.05186561795037014,0.0689376075503834
lora_encoder_only,250,0.134830743201077,0.414586864978075,0.08254120153180099,0.2518015543000707
lora_encoder_only,1000,0.11565455772727726,0.42924863410741093,0.06982749069772384,0.2604479035155432
