bin_lo,bin_hi,n,conf_mean,true_mean
0.0,0.1,0,,
0.1,0.2,0,,
0.2,0.30000000000000004,0,,
0.30000000000000004,0.4,19,0.37310468836834554,0.43106297481346284
0.4,0.5,46,0.44509418049584265,0.35327908641461414
0.5,0.6000000000000001,29,0.5349442013378801,0.45114228022702024
0.6000000000000001,0.7000000000000001,6,0.6283625066280365,0.5214082266013221
0.7000000000000001,0.8,0,,
0.8,0.9,0,,
0.9,1.0,0,,
