run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
lora_encoder_only_n1000_seed0,lora_encoder_only,cbis_ddsm,0,0.8112,0.1253,0.6962,9.4457,4128768,5735,99.8,2026-09-14T17:01:41,drift;pm0
lora_seed0,lora,isic2018_test,0,0.9545,0.0417,0.9157,4.0847,4353252,5721,299.9,2026-09-14T17:06:53,drift;pm0
lora_seed0,lora,ph2,0,0.9557,0.0264,0.9162,2.6826,4353252,5721,60.9,2026-09-14T17:07:53,drift;pm0
lora_seed0,lora,busi,0,0.7775,0.1894,0.6687,162.7201,4353252,5721,186.5,2026-09-14T17:11:00,drift;pm0
lora_seed0,lora,cbis_ddsm,0,0.4979,0.2864,0.3788,234.1677,4353252,5721,102.3,2026-09-14T17:12:43,drift;pm0
decoder_only_seed0,decoder_only,isic2018_test,0,0.9487,0.0433,0.9052,5.4750,4058340,5679,219.4,2026-09-14T17:16:30,drift;pm0
decoder_only_seed0,decoder_only,ph2,0,0.9466,0.0330,0.9003,5.2648,4058340,5679,44.2,2026-09-14T17:17:14,drift;pm0
decoder_only_seed0,decoder_only,busi,0,0.8944,0.0670,0.8148,15.3107,4058340,5679,130.9,2026-09-14T17:19:25,drift;pm0
decoder_only_seed0,decoder_only,cbis_ddsm,0,0.8273,0.1292,0.7203,9.9660,4058340,5679,69.7,2026-09-14T17:20:35,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,isic2018_test,0,0.9577,0.0375,0.9211,3.3238,4128768,5735,369.7,2026-09-14T17:26:53,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,ph2,0,0.9591,0.0242,0.9223,2.1732,4128768,5735,88.2,2026-09-14T17:28:21,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,busi,0,0.9075,0.0652,0.8364,11.0851,4128768,5735,256.7,2026-09-14T17:32:38,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,cbis_ddsm,0,0.8212,0.1247,0.7103,8.6174,4128768,5735,134.0,2026-09-14T17:34:53,drift;pm0
