run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6067,0,5663,263.0,2026-09-11T11:46:05,drift;pm0
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0325,0,5663,44.2,2026-09-11T11:46:49,drift;pm0
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4210,0,5663,130.4,2026-09-11T11:49:01,drift;pm0
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2826,0,5663,69.4,2026-09-11T11:50:10,drift;pm0
decoder_only_seed0,decoder_only,isic2018_test,0,0.9487,0.0433,0.9052,5.4750,4058340,5679,220.1,2026-09-11T11:54:40,drift;pm0
decoder_only_seed0,decoder_only,ph2,0,0.9466,0.0330,0.9003,5.2648,4058340,5679,44.3,2026-09-11T11:55:25,drift;pm0
decoder_only_seed0,decoder_only,busi,0,0.8944,0.0670,0.8148,15.3107,4058340,5679,131.0,2026-09-11T11:57:36,drift;pm0
decoder_only_seed0,decoder_only,cbis_ddsm,0,0.8273,0.1292,0.7203,9.9660,4058340,5679,69.2,2026-09-11T11:58:45,drift;pm0
vpt_shallow_seed0,vpt_shallow,isic2018_test,0,0.9457,0.0437,0.8998,5.6403,4066020,5703,298.8,2026-09-11T12:03:53,drift;pm0
vpt_shallow_seed0,vpt_shallow,ph2,0,0.9436,0.0345,0.8952,5.3272,4066020,5703,59.9,2026-09-11T12:04:53,drift;pm0
vpt_shallow_seed0,vpt_shallow,busi,0,0.8112,0.1391,0.7018,138.6122,4066020,5703,182.9,2026-09-11T12:07:56,drift;pm0
vpt_shallow_seed0,vpt_shallow,cbis_ddsm,0,0.6388,0.2159,0.5019,112.3210,4066020,5703,96.6,2026-09-11T12:09:33,drift;pm0
vpt_deep_seed0,vpt_deep,isic2018_test,0,0.9472,0.0430,0.9024,5.4260,4150500,5703,294.0,2026-09-11T12:14:37,drift;pm0
vpt_deep_seed0,vpt_deep,ph2,0,0.9458,0.0307,0.8987,4.5991,4150500,5703,60.3,2026-09-11T12:15:37,drift;pm0
vpt_deep_seed0,vpt_deep,busi,0,0.7995,0.1574,0.6900,153.2312,4150500,5703,181.7,2026-09-11T12:18:39,drift;pm0
vpt_deep_seed0,vpt_deep,cbis_ddsm,0,0.5744,0.2457,0.4409,166.9844,4150500,5703,97.3,2026-09-11T12:20:16,drift;pm0
lora_seed0,lora,isic2018_test,0,0.9545,0.0417,0.9157,4.0847,4353252,5705,299.5,2026-09-11T12:25:25,drift;pm0
lora_seed0,lora,ph2,0,0.9557,0.0264,0.9162,2.6826,4353252,5705,61.0,2026-09-11T12:26:26,drift;pm0
lora_seed0,lora,busi,0,0.7775,0.1894,0.6687,162.7201,4353252,5705,185.2,2026-09-11T12:29:31,drift;pm0
lora_seed0,lora,cbis_ddsm,0,0.4979,0.2864,0.3788,234.1677,4353252,5705,98.8,2026-09-11T12:31:10,drift;pm0
full_ft_seed0,full_ft,isic2018_test,0,0.9609,0.0355,0.9267,2.5779,93729252,6045,300.4,2026-09-11T12:36:31,drift;pm0
full_ft_seed0,full_ft,ph2,0,0.9583,0.0254,0.9209,2.4896,93729252,6045,60.6,2026-09-11T12:37:32,drift;pm0
full_ft_seed0,full_ft,busi,0,0.8991,0.0654,0.8224,12.0905,93729252,6045,185.6,2026-09-11T12:40:38,drift;pm0
full_ft_seed0,full_ft,cbis_ddsm,0,0.8280,0.1246,0.7205,8.2131,93729252,6045,98.9,2026-09-11T12:42:17,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,isic2018_test,0,0.9577,0.0375,0.9211,3.3238,4128768,5719,308.6,2026-09-12T05:19:02,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,ph2,0,0.9591,0.0242,0.9223,2.1732,4128768,5719,62.3,2026-09-12T05:20:05,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,busi,0,0.9075,0.0652,0.8364,11.0851,4128768,5719,189.9,2026-09-12T05:23:15,drift;pm0
lora_encoder_only_r28_all_seed0,lora_encoder_only,cbis_ddsm,0,0.8212,0.1247,0.7103,8.6174,4128768,5719,100.8,2026-09-12T05:24:56,drift;pm0
