dataset,method,training,dice_pm0,dice_pm20,dice_pm50,dice_pm100,dice_pm200,iou_pm0,iou_pm20,iou_pm50,iou_pm100,iou_pm200,hd95_pm0,hd95_pm20,hd95_pm50,hd95_pm100,hd95_pm200
busi,vpt_shallow,pm=20,0.7701,0.7537,0.7057,0.6239,0.4781,0.6527,0.6305,0.5695,0.4754,0.3355,156.6096,161.1566,170.8721,177.8905,226.7648
cbis_ddsm,vpt_shallow,pm=20,0.4167,0.3908,0.3271,0.2291,0.1273,0.2987,0.2688,0.2117,0.1382,0.0713,193.5206,177.862,179.5795,192.7518,225.5063
isic2018_test,vpt_deep,pm=20,0.9444,0.9328,0.8994,0.8347,0.7277,0.8976,0.8777,0.8221,0.7263,0.5929,6.1729,8.5695,16.1917,36.1275,86.2983
ph2,vpt_deep,pm=20,0.9444,0.9312,0.9004,0.8379,0.7465,0.8962,0.8733,0.8225,0.7296,0.6152,5.0168,7.669,16.0497,36.309,81.6993
busi,vpt_deep,pm=20,0.8136,0.8018,0.7504,0.6465,0.4884,0.7054,0.6882,0.619,0.4971,0.3436,115.1968,120.1979,126.7951,143.4382,210.0392
cbis_ddsm,vpt_deep,pm=20,0.5767,0.5203,0.4066,0.2625,0.1367,0.443,0.3776,0.2722,0.1603,0.0767,112.0014,103.6305,113.7189,140.6731,189.2404
isic2018_test,lora,pm=20,0.951,0.939,0.907,0.8535,0.7808,0.9091,0.8882,0.8347,0.7536,0.6604,4.2314,5.9135,12.1453,26.2619,54.3891
ph2,lora,pm=20,0.9516,0.9368,0.9084,0.8643,0.8258,0.909,0.8828,0.8352,0.7677,0.7156,2.7155,5.0202,11.2396,23.2775,37.5565
busi,lora,pm=20,0.8109,0.7952,0.7511,0.6623,0.5126,0.7078,0.6843,0.6243,0.5168,0.3668,137.3915,148.5599,155.7417,182.4972,238.008
cbis_ddsm,lora,pm=20,0.5422,0.5052,0.4154,0.2647,0.1392,0.4173,0.3709,0.283,0.1645,0.0788,188.5616,206.5663,221.2185,243.2809,262.5261
isic2018_test,full_ft,pm=20,0.9553,0.9457,0.911,0.8393,0.7252,0.9166,0.8996,0.8413,0.7333,0.591,3.477,4.6422,10.8096,30.9788,84.8609
ph2,full_ft,pm=20,0.9543,0.9422,0.9103,0.8462,0.7533,0.9138,0.892,0.8379,0.741,0.6245,3.194,4.7821,11.6163,30.4729,75.4686
busi,full_ft,pm=20,0.8935,0.8891,0.8341,0.705,0.5241,0.8121,0.8057,0.7259,0.5638,0.3782,12.4107,14.233,24.5968,56.2519,130.0805
cbis_ddsm,full_ft,pm=20,0.8015,0.743,0.5808,0.3494,0.1744,0.6831,0.6074,0.4272,0.2249,0.1014,12.0643,20.4561,31.7824,65.7505,137.7014
isic2018_test,zero_shot,rand100,0.9072,0.9206,0.9144,0.8708,0.7673,0.8359,0.8582,0.8478,0.7796,0.6435,14.6066,12.8267,15.0608,29.3376,84.8684
ph2,zero_shot,rand100,0.9054,0.915,0.9107,0.8756,0.7986,0.8343,0.8499,0.8423,0.7867,0.6796,17.0328,15.029,17.2084,31.2376,78.7735
busi,zero_shot,rand100,0.8234,0.8504,0.8384,0.7579,0.6017,0.7082,0.7487,0.7323,0.6264,0.4533,20.4212,18.2506,21.6023,44.3726,111.6249
cbis_ddsm,zero_shot,rand100,0.6924,0.7483,0.657,0.3905,0.1889,0.5506,0.616,0.5143,0.2648,0.1133,15.2832,12.3965,19.5954,55.304,126.8457
isic2018_test,decoder_only,rand100,0.9384,0.9313,0.9119,0.8694,0.7782,0.8868,0.8747,0.8419,0.7757,0.6558,7.3943,9.0314,13.7451,26.7568,66.0145
ph2,decoder_only,rand100,0.9408,0.9335,0.9138,0.8685,0.7916,0.8895,0.8768,0.8438,0.7737,0.6698,5.2988,7.0973,12.8087,28.0078,65.9457
busi,decoder_only,rand100,0.8322,0.8284,0.7988,0.7041,0.5114,0.7272,0.7231,0.6831,0.564,0.3645,52.8669,55.815,68.7335,106.006,192.2126
cbis_ddsm,decoder_only,rand100,0.6527,0.6106,0.5026,0.3114,0.1528,0.516,0.4704,0.364,0.2014,0.0884,38.617,41.6761,45.659,79.6355,151.4022
isic2018_test,vpt_shallow,rand100,0.9316,0.9256,0.9109,0.8756,0.7951,0.8755,0.8654,0.841,0.7858,0.6781,9.2488,11.0088,15.0226,26.635,61.1929
ph2,vpt_shallow,rand100,0.9382,0.9325,0.9179,0.8815,0.8092,0.8852,0.8756,0.8512,0.7938,0.6945,5.9031,7.3216,11.4245,22.7703,55.7817
busi,vpt_shallow,rand100,0.6723,0.6638,0.6433,0.5839,0.4509,0.5434,0.5325,0.5074,0.4408,0.3119,204.5973,209.253,215.4952,241.3503,289.9521
cbis_ddsm,vpt_shallow,rand100,0.2496,0.2683,0.2495,0.1803,0.1101,0.1736,0.185,0.1665,0.112,0.0634,299.1473,274.399,253.6621,263.2662,292.3957
isic2018_test,vpt_deep,rand100,0.933,0.9266,0.9106,0.8738,0.7886,0.878,0.8671,0.8406,0.7832,0.6683,9.3809,11.1767,15.6322,27.2896,62.8706
ph2,vpt_deep,rand100,0.9368,0.9301,0.9145,0.8733,0.7899,0.8829,0.8713,0.8454,0.7814,0.6698,6.7329,8.4668,12.9375,26.5961,67.0755
busi,vpt_deep,rand100,0.7631,0.7542,0.7237,0.6431,0.4747,0.644,0.6309,0.5905,0.4967,0.331,125.4209,127.0073,134.3829,155.7828,213.4168
cbis_ddsm,vpt_deep,rand100,0.4049,0.3863,0.3353,0.2317,0.1241,0.2868,0.2668,0.2221,0.1423,0.0699,156.5321,147.7632,151.3316,157.246,210.2868
isic2018_test,lora,rand100,0.9421,0.9388,0.9287,0.9045,0.8494,0.8937,0.8879,0.8708,0.8315,0.7533,6.0043,6.6313,8.6205,15.1481,34.6188
ph2,lora,rand100,0.951,0.9459,0.935,0.9109,0.8724,0.9082,0.8992,0.8805,0.841,0.7841,3.0445,3.9202,6.1117,11.8585,24.3377
busi,lora,rand100,0.7474,0.7441,0.7248,0.6708,0.5179,0.6296,0.6231,0.5959,0.53,0.3726,162.0816,163.1421,165.6023,180.2719,237.3773
cbis_ddsm,lora,rand100,0.1785,0.208,0.2236,0.1913,0.1073,0.1247,0.1457,0.1544,0.1223,0.0616,347.0515,316.9885,280.4367,267.2548,277.7094
isic2018_test,full_ft,rand100,0.9446,0.9412,0.9305,0.9016,0.8386,0.8978,0.8919,0.8737,0.8274,0.7403,5.1703,5.8845,8.2478,16.2485,40.6309
ph2,full_ft,rand100,0.9468,0.9423,0.9329,0.9043,0.8651,0.9012,0.8931,0.8771,0.8312,0.7746,4.3558,5.0932,6.9212,13.8232,27.4617
busi,full_ft,rand100,0.8783,0.8715,0.8345,0.7194,0.5135,0.7905,0.7811,0.7281,0.5815,0.368,17.4,20.0901,28.99,57.3886,136.5656
cbis_ddsm,full_ft,rand100,0.7064,0.656,0.547,0.3446,0.1626,0.5706,0.5136,0.4029,0.2276,0.0953,28.6866,28.5921,42.2533,74.4712,158.5211
