run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10509,436.6,2026-05-25T16:23:19,
decoder_only_seed1_pm20,decoder_only,isic2018_test,1,0.9466,0.0416,0.9013,5.4525,4058340,10509,436.6,2026-05-25T16:23:19,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10509,88.5,2026-05-25T16:24:48,
decoder_only_seed1_pm20,decoder_only,ph2,1,0.9460,0.0300,0.8990,4.2111,4058340,10509,88.5,2026-05-25T16:24:48,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10509,260.7,2026-05-25T16:29:09,
decoder_only_seed1_pm20,decoder_only,busi,1,0.8797,0.0720,0.7915,19.4579,4058340,10509,260.7,2026-05-25T16:29:09,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10509,134.2,2026-05-25T16:31:23,
decoder_only_seed1_pm20,decoder_only,cbis_ddsm,1,0.7815,0.1341,0.6568,15.6847,4058340,10509,134.2,2026-05-25T16:31:24,
full_ft_seed1_pm20,full_ft,isic2018_test,1,0.9545,0.0431,0.9158,3.8141,93729252,10185,298.3,2026-05-25T16:36:26,
full_ft_seed1_pm20,full_ft,ph2,1,0.9528,0.0289,0.9112,3.7212,93729252,10185,60.6,2026-05-25T16:37:27,
full_ft_seed1_pm20,full_ft,busi,1,0.9032,0.0627,0.8288,12.2088,93729252,10185,182.2,2026-05-25T16:40:29,
full_ft_seed1_pm20,full_ft,cbis_ddsm,1,0.8118,0.1242,0.6970,9.0431,93729252,10185,95.8,2026-05-25T16:42:05,
lora_seed1_pm20,lora,isic2018_test,1,0.9486,0.0443,0.9051,4.8892,4353252,10218,301.4,2026-05-25T16:47:08,
lora_seed1_pm20,lora,ph2,1,0.9498,0.0307,0.9059,3.5508,4353252,10218,61.4,2026-05-25T16:48:09,
lora_seed1_pm20,lora,busi,1,0.7507,0.2121,0.6400,177.5438,4353252,10218,186.0,2026-05-25T16:51:15,
lora_seed1_pm20,lora,cbis_ddsm,1,0.3579,0.2504,0.2487,384.8917,4353252,10218,101.1,2026-05-25T16:52:57,
vpt_deep_seed1_pm20,vpt_deep,isic2018_test,1,0.9421,0.0449,0.8936,6.6721,4150500,10249,316.0,2026-05-25T16:58:14,
vpt_deep_seed1_pm20,vpt_deep,ph2,1,0.9408,0.0329,0.8900,5.5519,4150500,10249,61.6,2026-05-25T16:59:16,
vpt_deep_seed1_pm20,vpt_deep,busi,1,0.7496,0.2077,0.6358,170.5548,4150500,10249,184.2,2026-05-25T17:02:20,
vpt_deep_seed1_pm20,vpt_deep,cbis_ddsm,1,0.4648,0.2765,0.3444,184.9748,4150500,10249,97.3,2026-05-25T17:03:58,
vpt_shallow_seed1_pm20,vpt_shallow,isic2018_test,1,0.9424,0.0454,0.8941,6.6370,4066020,10281,299.3,2026-05-25T17:08:59,
vpt_shallow_seed1_pm20,vpt_shallow,ph2,1,0.9431,0.0323,0.8940,5.1109,4066020,10153,61.5,2026-05-25T17:10:00,
vpt_shallow_seed1_pm20,vpt_shallow,busi,1,0.7897,0.1652,0.6779,127.9219,4066020,10153,183.4,2026-05-25T17:13:04,
vpt_shallow_seed1_pm20,vpt_shallow,cbis_ddsm,1,0.4505,0.2918,0.3369,233.9346,4066020,10153,97.3,2026-05-25T17:14:41,
