image_id,dice,iou,hd95,iou_pred,drift,drift_enc
Mass-Test_P_00017_LEFT_MLO,0.023634131443858643,0.011958378706945303,567.3950805664062,0.5147808790206909,0.8746399134397507,0.30124431848526
Mass-Test_P_00238_RIGHT_CC,0.052738337674707564,0.027083334346788196,25.65621566772461,0.5769814252853394,0.7020049095153809,0.4434282183647156
Mass-Test_P_00699_RIGHT_CC,0.3198470851131055,0.1903678423217323,124.7397232055664,0.4930388629436493,0.851879745721817,0.3431055545806885
Mass-Test_P_01617_LEFT_CC,0.84150232881099,0.7263737767834677,12.369317054748535,0.5581795573234558,0.5178945958614349,0.25428062677383423
Mass-Test_P_00464_RIGHT_MLO,0.42581372414923113,0.2704976728186092,734.1743774414062,0.5625065565109253,0.7814012318849564,0.38972294330596924
Mass-Test_P_00893_LEFT_CC,0.7090860927306445,0.5492899942912838,15.231546401977539,0.4246636629104614,0.556275874376297,0.4067215323448181
Mass-Test_P_00636_RIGHT_CC,0.02109023463672276,0.010657501943669462,789.0228271484375,0.5853008031845093,0.7842912971973419,0.1876070499420166
Mass-Test_P_00980_LEFT_CC,0.3323262846602958,0.19927536328589932,22.658010482788086,0.5573357939720154,0.6092282235622406,0.2886052131652832
Mass-Test_P_00433_LEFT_CC,8.259684479370638e-11,8.259684479370638e-11,496.9538269042969,0.45438143610954285,0.8557667285203934,0.2170555591583252
Mass-Test_P_00145_LEFT_CC,0.5755395683693684,0.404040404087804,26.20305633544922,0.49137890338897705,0.6190458536148071,0.2283809781074524
Mass-Test_P_01277_RIGHT_MLO,0.5956738770961321,0.42417061656858557,12.720043182373047,0.5408347845077515,0.5557369589805603,0.32624125480651855
Mass-Test_P_00147_RIGHT_MLO,0.6701608531230505,0.5039412885284205,12.165525436401367,0.4844248294830322,0.722465991973877,0.24302619695663452
Mass-Test_P_01719_RIGHT_MLO,0.8254762673695935,0.7028178694566574,8.246211051940918,0.4809320867061615,0.579733818769455,0.2694932818412781
Mass-Test_P_01106_LEFT_MLO,0.1287128719033148,0.06878306948693645,27.539039611816406,0.4758965075016022,0.7013303935527802,0.3403581380844116
Mass-Test_P_00391_LEFT_CC,0.6027990189578994,0.43143329214551146,18.973665237426758,0.5406150221824646,0.5260733664035797,0.4631475806236267
Mass-Test_P_01673_RIGHT_MLO,0.7472687546441119,0.596511628141563,5.957737922668457,0.4201703369617462,0.6227193474769592,0.5577964782714844
Mass-Test_P_00391_RIGHT_MLO,0.7609100310485098,0.6140877984286283,9.87669849395752,0.5143011808395386,0.7631294578313828,0.30037420988082886
Mass-Test_P_01502_LEFT_MLO,0.5748709123422632,0.40338164275226185,424.4599609375,0.5231019258499146,0.7599499970674515,0.30700790882110596
Mass-Test_P_00203_LEFT_MLO,0.6658184903876937,0.49904640845578735,13.34166431427002,0.4615279734134674,0.6653401553630829,0.3936305046081543
Mass-Test_P_00766_LEFT_CC,0.35915888903184645,0.2188870614302739,464.1839904785156,0.5282426476478577,0.7297334372997284,0.29473966360092163
Mass-Test_P_01257_RIGHT_MLO,0.06382361479177119,0.032963739944083685,372.73126220703125,0.48854759335517883,0.8562581539154053,0.5116910338401794
Mass-Test_P_01651_RIGHT_CC,0.32610969964683084,0.1948214286433195,464.9984436035156,0.5310515761375427,0.6970973908901215,0.2142404317855835
Mass-Test_P_00820_RIGHT_CC,0.5775910364540064,0.4060653801488689,43.28972244262695,0.5424821376800537,0.7231890559196472,0.2618268132209778
Mass-Test_P_01797_LEFT_MLO,0.10629129566889606,0.05612864084829121,438.45361328125,0.4679010212421417,0.871973529458046,0.3029598593711853
Mass-Test_P_01605_LEFT_CC,0.5672959805774519,0.39596174295516223,36.88698959350586,0.4894311726093292,0.716345340013504,0.41825002431869507
Mass-Test_P_00718_RIGHT_MLO,0.8727440999655026,0.7742200328777964,4.123105525970459,0.37905353307724,0.5973454415798187,0.32909685373306274
Mass-Test_P_00405_LEFT_CC,0.782097079241217,0.642167011793967,8.602325439453125,0.47003960609436035,0.6393828988075256,0.2712472081184387
Mass-Test_P_01795_LEFT_CC,0.6081447965574006,0.43693107968990175,15.087998390197754,0.4647265374660492,0.6820801496505737,0.3831058144569397
Mass-Test_P_00500_RIGHT_MLO,0.2628512427713805,0.15131187915841796,470.00958251953125,0.5650839805603027,0.8215006440877914,0.32846707105636597
Mass-Test_P_01381_RIGHT_CC,0.4729286764470523,0.30969652119767627,68.4689712524414,0.4533751308917999,0.7319909930229187,0.3915312886238098
Mass-Test_P_00200_LEFT_CC,0.8982891290132144,0.8153583237427886,5.0,0.48448896408081055,0.4505420923233032,0.4962368607521057
Mass-Test_P_00773_LEFT_CC,0.5333715268499897,0.36367187512428284,26.0,0.5160572528839111,0.5904468297958374,0.2710005044937134
Mass-Test_P_00601_LEFT_MLO,0.6939487179801078,0.5313334381135019,24.514076232910156,0.5397816300392151,0.777409553527832,0.34283483028411865
Mass-Test_P_00490_RIGHT_MLO,0.8208784214104548,0.6961779313979317,7.071067810058594,0.5043429732322693,0.6125216782093048,0.3878968358039856
Mass-Test_P_00056_LEFT_MLO,0.40280339362576145,0.2521939954501437,356.0077209472656,0.4459834396839142,0.7121984362602234,0.479330837726593
Mass-Test_P_01719_RIGHT_CC,0.5012531329362462,0.3344481607206109,469.0,0.4525429904460907,0.6067036092281342,0.29489362239837646
Mass-Test_P_01599_LEFT_MLO,0.18971464421609993,0.1047981986653736,753.0159912109375,0.4985370337963104,0.7275688648223877,0.3840475082397461
Mass-Test_P_01800_LEFT_MLO,0.1826456000826995,0.10050081598669176,656.4071044921875,0.47263234853744507,0.8806174993515015,0.3245132565498352
Mass-Test_P_01599_LEFT_CC,0.2610141316454638,0.15009560270071912,47.35237503051758,0.4560948312282562,0.6184087693691254,0.2070850133895874
Mass-Test_P_00470_RIGHT_MLO,0.6207516095791659,0.45006513255534836,715.1595458984375,0.5534101724624634,0.7557602822780609,0.37676888704299927
