image_id,dice,iou,hd95,iou_pred,drift,drift_enc
benign_benign (1),0.9071838029141135,0.830133928609345,2.0,0.5173861384391785,0.03477674722671509,0.34549015760421753
benign_benign (10),0.9834988057211229,0.967533349942614,0.0,0.5928908586502075,0.049987852573394775,0.41957372426986694
benign_benign (100),0.605927150143174,0.43464525559626127,154.3826446533203,0.5411176681518555,0.10364621877670288,0.3273841142654419
benign_benign (101),0.9528707158774303,0.9099838294358278,0.0,0.5258334279060364,0.05302238464355469,0.316511332988739
benign_benign (102),0.9686643585120334,0.9392328932946394,0.0,0.5967544317245483,0.0681067705154419,0.36418843269348145
benign_benign (103),0.9676179022567633,0.9372672234168135,0.0,0.568629264831543,0.04455006122589111,0.2483643889427185
benign_benign (104),0.9482955845373887,0.9016750054490238,1.0,0.5042567253112793,0.05523407459259033,0.3605753779411316
benign_benign (105),0.9525688404803532,0.9094333616346862,0.0,0.5392858982086182,0.047174930572509766,0.2523610591888428
benign_benign (106),0.9535340000968193,0.9111944393675144,0.0,0.5180535912513733,0.05250948667526245,0.36169523000717163
benign_benign (107),0.9369360946207065,0.8813544415179704,1.4142135381698608,0.5646933317184448,0.03557854890823364,0.22237074375152588
benign_benign (108),0.8259320441838187,0.7034789086075129,15.620499610900879,0.57059246301651,0.08859443664550781,0.41179370880126953
benign_benign (109),0.941206268204757,0.8889420478617783,2.0,0.5985921025276184,0.03850764036178589,0.20633196830749512
benign_benign (11),0.952305873083139,0.9089541008448168,0.0,0.5014902353286743,0.04870027303695679,0.6186657249927521
benign_benign (110),0.9469652206177189,0.8992725018764932,1.0,0.6011759042739868,0.024762451648712158,0.24321740865707397
benign_benign (111),0.9131677571011507,0.8402104032822788,3.0,0.5660454034805298,0.06359374523162842,0.2817792296409607
benign_benign (112),0.938392427405006,0.8839353181287641,1.0,0.5083267092704773,0.05724501609802246,0.4371646046638489
benign_benign (113),0.9634857084942797,0.9295440655193853,0.0,0.5882883667945862,0.04837346076965332,0.3773307204246521
benign_benign (114),0.848157409605854,0.7363483662451059,16.278820037841797,0.5956949591636658,0.05479472875595093,0.4333810806274414
benign_benign (115),0.9201295036706528,0.8520739355345982,2.8284270763397217,0.5522711277008057,0.04722177982330322,0.5312299728393555
benign_benign (116),0.8983741545226075,0.8154984364414997,4.0,0.46399161219596863,0.08748966455459595,0.4085184931755066
benign_benign (117),0.9214561775356054,0.8543520980289618,3.605551242828369,0.5633112192153931,0.04928886890411377,0.38828885555267334
benign_benign (118),0.9178634724708836,0.8481956288559216,3.0,0.526083767414093,0.07820332050323486,0.4377294182777405
benign_benign (119),0.908160632904456,0.8317712845686562,3.1622776985168457,0.47983047366142273,0.06840795278549194,0.37241506576538086
benign_benign (12),0.8648453310302945,0.7618744429183911,5.0,0.5373342633247375,0.0680655837059021,0.46776700019836426
benign_benign (120),0.9011803458823524,0.8201348988708131,2.0,0.5122762322425842,0.07320457696914673,0.3448747992515564
benign_benign (121),0.953034950488192,0.9102834434955946,0.0,0.6344590187072754,0.06627213954925537,0.4084569811820984
benign_benign (122),0.9308260577579163,0.8706030150789893,2.2360680103302,0.6104086637496948,0.09253019094467163,0.3379896283149719
benign_benign (123),0.9428841694644783,0.8919402606881117,1.4142135381698608,0.5567403435707092,0.044905900955200195,0.40070754289627075
benign_benign (124),0.892883230723863,0.806494179753688,4.4721360206604,0.5294210910797119,0.04741060733795166,0.3883848190307617
benign_benign (125),0.9170498761975129,0.8468071207049807,2.2360680103302,0.5330369472503662,0.054446518421173096,0.2215840220451355
benign_benign (126),0.8922922614037384,0.8055304033011402,5.0,0.5533275008201599,0.04567223787307739,0.21674072742462158
benign_benign (127),0.96079898687656,0.9245554755484099,0.0,0.5307057499885559,0.07645261287689209,0.2651289105415344
benign_benign (128),0.9279131007265334,0.8655204175704316,2.0,0.5298983454704285,0.056990623474121094,0.24368023872375488
benign_benign (129),0.9389756883647805,0.8849709455966078,1.0,0.5606047511100769,0.03589993715286255,0.25988590717315674
benign_benign (13),0.9725354210101812,0.9465391225131544,0.0,0.5809788703918457,0.034579455852508545,0.38768887519836426
benign_benign (130),0.9798011160996953,0.9604020662659098,0.0,0.5977494120597839,0.051772236824035645,0.24924761056900024
benign_benign (131),0.9414681739157024,0.8894094166243143,2.8284270763397217,0.5563516020774841,0.15898245573043823,0.3102763295173645
benign_benign (132),0.9473978847202471,0.9000531834105738,1.0,0.5512999296188354,0.04301881790161133,0.2307724952697754
benign_benign (133),0.8997033944908435,0.8176916933089365,3.1622776985168457,0.5545054078102112,0.06301140785217285,0.21549004316329956
benign_benign (134),0.8611469252838642,0.7561527860054978,6.7082037925720215,0.4959125220775604,0.07266223430633545,0.2314305305480957
benign_benign (135),0.9241686607821568,0.8590274582045165,2.8284270763397217,0.5697656273841858,0.07093727588653564,0.2777368426322937
benign_benign (136),0.933269916766813,0.8748885321956219,2.0,0.5856615900993347,0.054836153984069824,0.28287273645401
