image_id,dice,iou,hd95,iou_pred,drift,drift_enc
Mass-Test_P_00017_LEFT_MLO,0.6615201902247505,0.4942324760477085,6.324555397033691,0.4928060472011566,0.006756603717803955,0.0
Mass-Test_P_00238_RIGHT_CC,0.8195348838048676,0.6942474391692297,2.8284270763397217,0.4481835663318634,0.012663483619689941,0.0
Mass-Test_P_00699_RIGHT_CC,0.8677740864080233,0.7664319249740095,3.048651695251465,0.5031947493553162,0.014289259910583496,0.0
Mass-Test_P_01617_LEFT_CC,0.9046749844330819,0.8259420460406249,4.123105525970459,0.5459185242652893,0.04049098491668701,0.0
Mass-Test_P_00464_RIGHT_MLO,0.8761226910903029,0.7795536791979633,3.0,0.6069780588150024,0.015132665634155273,0.0
Mass-Test_P_00893_LEFT_CC,0.8409000661918663,0.7254767614793335,7.071067810058594,0.4785802960395813,0.032434940338134766,0.0
Mass-Test_P_00636_RIGHT_CC,0.8766929690405496,0.780457118938885,3.1622776985168457,0.44563373923301697,0.019982457160949707,0.0
Mass-Test_P_00980_LEFT_CC,0.8400520157086788,0.7242152469459471,2.8284270763397217,0.47926682233810425,0.008579254150390625,0.0
Mass-Test_P_00433_LEFT_CC,0.8661240528020983,0.7638613862555141,3.0,0.45391109585762024,0.012492239475250244,0.0
Mass-Test_P_00145_LEFT_CC,0.835937137831536,0.7181202708308945,6.7082037925720215,0.42141225934028625,0.06060868501663208,0.0
Mass-Test_P_01277_RIGHT_MLO,0.7252252253489977,0.568904593944237,10.198039054870605,0.4465446174144745,0.010760784149169922,0.0
Mass-Test_P_00147_RIGHT_MLO,0.8581997534258446,0.7516198705176589,3.0,0.5212547779083252,0.0068732500076293945,0.0
Mass-Test_P_01719_RIGHT_MLO,0.9126817379685115,0.8393878497697653,2.0,0.5572515726089478,0.01573622226715088,0.0
Mass-Test_P_01106_LEFT_MLO,0.8316483517223525,0.7118133937458138,4.123105525970459,0.4943772554397583,0.01057732105255127,0.0
Mass-Test_P_00391_LEFT_CC,0.8494444444653549,0.7382906808937009,4.4721360206604,0.4525977671146393,0.025671780109405518,0.0
Mass-Test_P_01673_RIGHT_MLO,0.8302118514491214,0.7097112862416214,4.0,0.5087149739265442,0.016844987869262695,0.0
Mass-Test_P_00391_RIGHT_MLO,0.756492514549879,0.608353808450036,10.440306663513184,0.45176076889038086,0.010485470294952393,0.0
Mass-Test_P_01502_LEFT_MLO,0.937219730961813,0.8818565401556019,1.0,0.44218799471855164,0.005890369415283203,0.0
Mass-Test_P_00203_LEFT_MLO,0.8357060408481316,0.7177792467166033,2.8284270763397217,0.46667996048927307,0.02160024642944336,0.0
Mass-Test_P_00766_LEFT_CC,0.817967945903693,0.6920014927612885,7.071067810058594,0.48827895522117615,0.030904650688171387,0.0
Mass-Test_P_01257_RIGHT_MLO,0.8454763811358134,0.7323162275546754,4.0,0.4850628674030304,0.007719814777374268,0.0
Mass-Test_P_01651_RIGHT_CC,0.891821663027091,0.8047636678014607,4.242640495300293,0.5234255194664001,0.010942220687866211,0.0
Mass-Test_P_00820_RIGHT_CC,0.9045417460015581,0.8257199603213208,2.0,0.4462048411369324,0.015178442001342773,0.0
Mass-Test_P_01797_LEFT_MLO,0.8408163265667082,0.7253521127835086,6.0,0.5073111057281494,0.014935135841369629,0.0
Mass-Test_P_01605_LEFT_CC,0.7206412826211139,0.5632832081568662,9.0,0.47134989500045776,0.019418001174926758,0.0
Mass-Test_P_00718_RIGHT_MLO,0.8712466301132986,0.771866249419887,3.605551242828369,0.5772699117660522,0.01824331283569336,0.0
Mass-Test_P_00405_LEFT_CC,0.8595809030179757,0.753741238917647,4.123105525970459,0.4694739580154419,0.013980746269226074,0.0
Mass-Test_P_01795_LEFT_CC,0.8314606742569718,0.7115384618304267,2.8284270763397217,0.4319009482860565,0.006896317005157471,0.0
Mass-Test_P_00500_RIGHT_MLO,0.78663750252801,0.6483120289582721,6.7082037925720215,0.40959450602531433,0.015332460403442383,0.0
Mass-Test_P_01381_RIGHT_CC,0.6087348042303613,0.43754045325645946,14.142135620117188,0.46713557839393616,0.021625399589538574,0.0
Mass-Test_P_00200_LEFT_CC,0.8225754987927218,0.698622712500841,15.231546401977539,0.4788587987422943,0.034878313541412354,0.0
Mass-Test_P_00773_LEFT_CC,0.8134891288546828,0.6856145600384905,5.099019527435303,0.4791281521320343,0.028848648071289062,0.0
Mass-Test_P_00601_LEFT_MLO,0.9176538572785822,0.8478376935803957,1.9705390930175781,0.47370418906211853,0.012469887733459473,0.0
Mass-Test_P_00490_RIGHT_MLO,0.768013468052523,0.6233943701493866,8.062257766723633,0.48731547594070435,0.01466667652130127,0.0
Mass-Test_P_00056_LEFT_MLO,0.7967914438822284,0.6622222223105301,6.324555397033691,0.5454065203666687,0.02128058671951294,0.0
Mass-Test_P_01719_RIGHT_CC,0.8798895536401542,0.7855382087980534,3.605551242828369,0.5211726427078247,0.0162317156791687,0.0
Mass-Test_P_01599_LEFT_MLO,0.746319365870238,0.5953026198756538,8.062257766723633,0.45856672525405884,0.017616569995880127,0.0
Mass-Test_P_01800_LEFT_MLO,0.9177991382303946,0.8480857580863443,1.0,0.5189070105552673,0.02119123935699463,0.0
