image_id,dice,iou,hd95,iou_pred,drift,drift_enc
Mass-Test_P_00017_LEFT_MLO,0.5731070498870058,0.40164684409730383,8.485280990600586,0.46191123127937317,0.0354958176612854,0.19762134552001953
Mass-Test_P_00238_RIGHT_CC,0.6116098147147756,0.440517241861623,11.180339813232422,0.39378494024276733,0.042210161685943604,0.2274497151374817
Mass-Test_P_00699_RIGHT_CC,0.8598051673316803,0.7540861813692102,3.0,0.48624351620674133,0.04292958974838257,0.18641865253448486
Mass-Test_P_01617_LEFT_CC,0.8724060822926564,0.7736881767432005,9.219544410705566,0.5124285817146301,0.05336964130401611,0.13183963298797607
Mass-Test_P_00464_RIGHT_MLO,0.7623610579221232,0.6159801797411025,6.4031243324279785,0.46829715371131897,0.05823153257369995,0.20112842321395874
Mass-Test_P_00893_LEFT_CC,0.6992587363484594,0.5375848033191879,25.495098114013672,0.5050578713417053,0.10622024536132812,0.30969905853271484
Mass-Test_P_00636_RIGHT_CC,0.7114401077104388,0.5521203259761603,11.0,0.37648361921310425,0.1563352346420288,0.09553158283233643
Mass-Test_P_00980_LEFT_CC,0.8137651823118993,0.6860068262957829,3.1622776985168457,0.4720788598060608,0.04684758186340332,0.09802615642547607
Mass-Test_P_00433_LEFT_CC,0.8133915575506866,0.685475956974742,4.0,0.37094205617904663,0.09244459867477417,0.11529409885406494
Mass-Test_P_00145_LEFT_CC,0.7939613839708461,0.658321693385804,14.21267032623291,0.5023260116577148,0.1118040680885315,0.13542133569717407
Mass-Test_P_01277_RIGHT_MLO,0.5002956833233023,0.33359621503659603,14.491212844848633,0.43428653478622437,0.037618041038513184,0.1355428695678711
Mass-Test_P_00147_RIGHT_MLO,0.8313725490585068,0.7114093960870868,3.1622776985168457,0.5117504596710205,0.03349679708480835,0.13630151748657227
Mass-Test_P_01719_RIGHT_MLO,0.769974768737387,0.6259829060468405,10.049875259399414,0.464204341173172,0.08795773983001709,0.14854341745376587
Mass-Test_P_01106_LEFT_MLO,0.8779138680845856,0.7823943663504265,2.0,0.4813302755355835,0.040229618549346924,0.18770462274551392
Mass-Test_P_00391_LEFT_CC,0.8017739551401997,0.6691341409445638,7.6157732009887695,0.4675457179546356,0.08521026372909546,0.2714560627937317
Mass-Test_P_01673_RIGHT_MLO,0.8543630283203517,0.7457537156338887,3.1622776985168457,0.4779760241508484,0.03889572620391846,0.1726691722869873
Mass-Test_P_00391_RIGHT_MLO,0.8034042553470349,0.6714082504335209,7.211102485656738,0.4549964368343353,0.08000504970550537,0.12818032503128052
Mass-Test_P_01502_LEFT_MLO,0.8900555899042447,0.8018920424029538,2.0,0.4397179186344147,0.04192054271697998,0.12548929452896118
