dataset,cka_n,cka_dice_mean,cka_dice_std,cka_iou_mean,cka_iou_std,cka_hd95_mean,cka_hd95_std,no_cka_n,no_cka_dice_mean,no_cka_dice_std,no_cka_iou_mean,no_cka_iou_std,no_cka_hd95_mean,no_cka_hd95_std,delta_dice,delta_iou,delta_hd95
isic2018_test,3,0.9517666666666665,0.0017502380790433729,0.9103666666666667,0.003200520790954686,4.3078666666666665,0.32037203893806526,3,0.9492333333333334,0.0015502687938977538,0.9061333333333333,0.0026083200212652907,4.6504,0.36404565647731596,0.0025333333333331653,0.004233333333333311,-0.3425333333333338
ph2,3,0.9542333333333334,0.0015044378795195656,0.9137,0.0027784887978899745,2.6921666666666666,0.36171030305112034,3,0.9511,0.0011357816691600568,0.9081000000000001,0.001915724406066782,3.057,0.4379817233629733,0.0031333333333334323,0.005599999999999827,-0.36483333333333334
busi,3,0.8258000000000001,0.0075286120898874435,0.7176666666666666,0.010796913139102911,75.63023333333332,14.911095913558244,3,0.7744666666666666,0.03203659365995908,0.6661666666666667,0.036450285778486476,171.72126666666668,31.820568239164633,0.05133333333333345,0.05149999999999988,-96.09103333333336
cbis_ddsm,3,0.5411666666666667,0.09468549695351096,0.4144666666666667,0.08877861979853785,123.14616666666667,68.70017502105314,3,0.43703333333333333,0.09486792573537875,0.32143333333333335,0.08664786975646506,275.5139666666667,100.06772628626742,0.10413333333333336,0.09303333333333336,-152.36780000000005
