curve,dataset,level,dice_mean,dice_std,n_seeds
CKA pm20,isic2018_test,200,0.7642666666666665,0.007827089710315923,3
CKA pm20,ph2,0,0.9542333333333334,0.0015044378795195958,3
CKA pm20,ph2,20,0.9418666666666667,0.001858314648635579,3
CKA pm20,ph2,50,0.9120666666666667,0.0013650396819629438,3
CKA pm20,ph2,100,0.8606333333333334,0.0014364307617610523,3
CKA pm20,ph2,200,0.8004333333333333,0.0017214335111567117,3
CKA pm20,busi,0,0.8258000000000001,0.00752861208988744,3
CKA pm20,busi,20,0.8111333333333333,0.01252850084141496,3
CKA pm20,busi,50,0.7622,0.018525927777037255,3
CKA pm20,busi,100,0.6724,0.02323553313354355,3
CKA pm20,busi,200,0.5182333333333333,0.023477719934723956,3
CKA pm20,cbis_ddsm,0,0.5411666666666667,0.09468549695351096,3
CKA pm20,cbis_ddsm,20,0.5068333333333334,0.07712705966995846,3
CKA pm20,cbis_ddsm,50,0.41030000000000005,0.058757212323254426,3
CKA pm20,cbis_ddsm,100,0.255,0.031330655913976664,3
CKA pm20,cbis_ddsm,200,0.1342,0.013670040234030043,3
CKA rand100,isic2018_test,0,0.9407,,1
CKA rand100,isic2018_test,20,0.9367,,1
CKA rand100,isic2018_test,50,0.9266,,1
CKA rand100,isic2018_test,100,0.9043,,1
CKA rand100,isic2018_test,200,0.8512,,1
CKA rand100,ph2,0,0.9473,,1
CKA rand100,ph2,20,0.9432,,1
CKA rand100,ph2,50,0.9341,,1
CKA rand100,ph2,100,0.9139,,1
CKA rand100,ph2,200,0.8798,,1
CKA rand100,busi,0,0.6877,,1
CKA rand100,busi,20,0.6747,,1
CKA rand100,busi,50,0.6439,,1
CKA rand100,busi,100,0.5845,,1
CKA rand100,busi,200,0.4663,,1
CKA rand100,cbis_ddsm,0,0.1827,,1
CKA rand100,cbis_ddsm,20,0.1849,,1
CKA rand100,cbis_ddsm,50,0.1642,,1
CKA rand100,cbis_ddsm,100,0.1281,,1
CKA rand100,cbis_ddsm,200,0.0812,,1
