run_name,dataset,detector,threshold,auroc,auprc,n,n_fail
full_ft_seed0,cbis_ddsm,drift,0.6,0.33824229914258497,0.6623471919148611,362,268
full_ft_seed0,cbis_ddsm,iou_pred,0.7,0.7908434788948021,0.9609423985567953,362,319
full_ft_seed0,cbis_ddsm,drift,0.7,0.3513887876357804,0.8449082468343554,362,319
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.5,0.9467871485943775,0.3495358320319278,1000,4
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.5,0.17218875502008033,0.00288797460577371,1000,4
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.3,0.9473947895791583,0.09313725490196079,1000,2
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.3,0.2625250501002004,0.0020101830446658036,1000,2
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.4,0.9473947895791583,0.09313725490196079,1000,2
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.4,0.2625250501002004,0.0020101830446658036,1000,2
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.6,0.8197381671701913,0.23224088907937745,1000,7
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.6,0.3198100992662926,0.005567466544295162,1000,7
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.7,0.8098857040272874,0.3423991409440243,1000,17
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.7,0.40733648495003294,0.01447364253456453,1000,17
lora_encoder_only_r28_all_seed0,ph2,iou_pred,0.5,,,200,0
lora_encoder_only_r28_all_seed0,ph2,drift,0.5,,,200,0
lora_encoder_only_r28_all_seed0,ph2,iou_pred,0.3,,,200,0
lora_encoder_only_r28_all_seed0,ph2,drift,0.3,,,200,0
lora_encoder_only_r28_all_seed0,ph2,iou_pred,0.4,,,200,0
lora_encoder_only_r28_all_seed0,ph2,drift,0.4,,,200,0
lora_encoder_only_r28_all_seed0,ph2,iou_pred,0.6,,,200,0
lora_encoder_only_r28_all_seed0,ph2,drift,0.6,,,200,0
lora_encoder_only_r28_all_seed0,ph2,iou_pred,0.7,,,200,0
lora_encoder_only_r28_all_seed0,ph2,drift,0.7,,,200,0
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.5,0.8940600710104597,0.30404367041766833,647,34
lora_encoder_only_r28_all_seed0,busi,drift,0.5,0.35342097687362056,0.0381461411702137,647,34
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.3,0.9383490073145245,0.16577135245072075,647,9
lora_encoder_only_r28_all_seed0,busi,drift,0.3,0.3782654127481714,0.011864665754669513,647,9
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.4,0.9089662447257384,0.18650170219466672,647,15
lora_encoder_only_r28_all_seed0,busi,drift,0.4,0.38069620253164554,0.018714974565203883,647,15
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.6,0.9102836681027248,0.5100923417330128,647,61
lora_encoder_only_r28_all_seed0,busi,drift,0.6,0.40396128238124546,0.07397932623514031,647,61
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.7,0.7987172141583906,0.6114752086848795,647,119
lora_encoder_only_r28_all_seed0,busi,drift,0.7,0.5092787114845938,0.1788129051140907,647,119
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.5,0.7512852444359294,0.8176620661089827,362,219
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.5,0.358974358974359,0.540160154503508,362,219
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.3,0.7444210790621764,0.6641683710524728,362,151
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.3,0.35978155111264554,0.3704688235888891,362,151
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.4,0.7434722858451672,0.7465029567796275,362,185
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.4,0.35431363566956786,0.4432520495703491,362,185
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.6,0.7479992115119258,0.8869139498970184,362,267
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.6,0.35474078454563374,0.6868209456654923,362,267
